Date,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31
1,0.0,0.0,3.868055555552216e-06,0.0,0.0,0.0,2.486111111100876e-07,0.0002780118055555346,0.0,6.576388888874303e-07,0.0003609430555555187,0.0005457791666666149,1.4055555555541548e-06,0.0,0.0,1.4166666666673124e-07,0.0015286187499999172,0.00021100416666664353,0.0010099027777776754,0.0,0.0,0.00011756319444441962,0.0,0.00012401111111108668,0.0,0.0035863347222219234,0.0,0.0,0.0,0.0,0.0,2.6552777777762377e-05,0.001226943749999845,0.0,0.0,0.0,0.0,0.0,0.0004873069444444219,0.0,0.0,0.0,0.000266994444444413,0.0,0.0,0.0,0.00020551597222216877,0.00043408611111105707,4.576388888880937e-07,2.5927083333324596e-05,0.0,0.0,0.00036753333333329024,0.0004765847222221718,0.0,0.0013454770833332423,0.0,0.00012779652777776323,0.0,0.000690972916666561,0.0,0.00029469652777775135,0.00011911805555553181,0.0,0.0,2.3181944444434775e-05,0.0,0.0,5.483611111109374e-05,0.0,0.0,0.0007927145833332489,0.0001027201388888758,0.0,0.0,0.00035548680555553554,0.0007810013888888341,0.0,0.0,0.0,0.0002492215277777311,0.000748588194444378,0.0,0.0,9.630277777775377e-05,0.0,0.0,0.0,0.00027077708333331094,0.00010219374999998217
2,0.0009444083333332047,0.0,0.001384362499999899,0.0002879090277777483,0.0,0.00012517430555552926,0.0,0.006011063888888601,0.0,0.0,0.004020526388888722,0.000582352777777723,0.0034513694444441197,0.0,0.0,0.0,0.002475874305555342,0.0,0.0,0.009510946527777177,0.00010517708333330717,0.011615442361110636,0.0,0.0,0.00012456944444442453,0.0,0.0,0.007549808333332741,0.0,0.0004321222222222016,0.0,0.0,0.0,2.3322222222214644e-05,0.0,0.0,0.0,0.0,0.0035318868055552446,5.6566666666647925e-05,0.0013926333333331414,0.0,0.0,0.0,0.0,0.00039425902777772185,8.052361111108791e-05,5.586111111103421e-06,0.0,0.0,0.0016989340277776704,0.0,0.0005095534722221077,0.0,0.0007729277777776873,0.026347406249998775,3.18416666666568e-05,0.0,0.0,0.0,1.5163194444432173e-05,0.0,0.0,0.0,0.0,0.00015721041666664338,0.0,0.0,1.8304861111103755e-05,0.0014469979166665584,0.0,0.0,0.0064857076388884945,0.0,0.003215650694444212,0.0032357666666665273,0.006700437499999366,0.0,0.0,0.0015371708333331096,0.001783132638888731,0.0,1.099999999997831e-06,0.0,2.916666666654935e-07,0.0,0.0020529027777776068,0.0012107666666665935,0.0,0.000594129861111074
3,0.0,0.0003009229166666202,0.0,0.0,3.8411805555535534e-05,0.0,4.4854166666624056e-06,0.0,0.0,0.0,1.8750000000030317e-08,0.0234345319444439,0.00025840833333330476,0.0,0.00012930833333332103,0.0,0.0003099909722221941,0.0,0.0,0.0,0.0003362104166665543,0.0,0.0,0.0006845618055554809,0.0,0.00033694652777773777,0.0,0.0,3.987361111110064e-05,0.004071128472221796,0.0,0.0017864666666664957,0.0,0.0,0.0003175736111110345,7.776388888883644e-06,0.0,0.0,0.0,0.0,0.0015646881944443175,0.0,0.003859465972221904,0.0,0.0,0.0003486055555554524,0.008913641666666174,7.92520833333225e-05,0.0,0.0,2.4270833333300206e-06,0.0,0.0,0.0,0.00012713333333328394,0.0029739555555552736,0.0,1.7812499999974522e-06,0.005451811111110813,0.0007341291666665661,0.0,0.0,0.00013048958333332936,0.0,3.2569444444395677e-06,0.00025985624999995535,0.0,0.0,0.0,0.0,0.0,1.4438194444440377e-05,0.0003434604166665868,0.0,4.840902777776268e-05,0.0,0.0,0.0,0.0,0.0016422222222219902,0.0,0.0,0.0,6.930555555539896e-07,0.017889195833332747,0.0,0.00038539027777771836,0.002301877777777478,0.0002695479166665892,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3754166666660615e-05,0.0,0.0007700972222221224,0.00010159166666665066,0.00022713888888884506,0.006153773611110644,5.555555555547542e-07,0.0,0.0,0.000145884027777755,0.0,0.0,0.0009827909722220913,4.527777777769199e-07,5.903541666665291e-05,0.0,0.0,0.0,0.0,0.00047867499999991984,0.004339027083333121,0.0,0.0,0.0,0.00034816666666660724,0.0,0.0,0.0,3.680555555490233e-08,0.0,0.0008781263888888373,0.0008820791666665315,0.0,0.00015552638888885017,0.0,0.0,3.2991666666656195e-05,0.0,1.8472222222164368e-07,0.0,1.0753472222214553e-05,0.0,0.0,0.0,0.0,0.007431452777777119,0.00251323402777752,0.0,0.0,0.00044536458333323796,0.0,0.0,0.0,0.0012818215277777159,0.0,2.72819444444345e-05,5.604166666644478e-07,0.0,3.941805555553617e-05,0.00025455972222218685,0.0,0.0010246548611109736,0.0,7.762291666665385e-05,0.0,0.0032391395833329694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.563611111110536e-05,2.962916666665717e-05,0.0,0.0,1.2374999999994351e-05,7.284166666665155e-05,0.0,0.0
5,0.0,0.0004180520833332106,0.0,0.0,0.0,0.0,0.0,0.0,4.409166666665292e-05,0.0,0.0,0.0,0.0,0.0001487798611110744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.924722222221523e-05,0.001086787499999793,0.0,0.0,0.0,0.005835797916665996,0.00044129097222216757,0.0,0.0004052229166665579,0.0,0.0,0.0,0.0015400124999998437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014371708333331705,0.0,0.0,0.0,0.0,0.0,0.0,6.775763888887996e-05,0.0018821798611109166,0.0,0.0,0.0,0.0009088243055554214,0.0,5.762638888887e-05,0.0,0.0,0.0,0.0,0.000912437499999918,0.0005913916666665924,0.0,1.9231249999993593e-05,0.0,0.0012067416666665066,0.00015487152777776014,7.638888888846415e-09,0.0,0.0,0.0,0.0028572659722219604,0.0,0.0,0.0,0.0,0.0,0.0020435395833330746,0.0010211965277775953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013776909722220635,0.0,0.0
6,8.100763888886932e-05,2.6874999999987697e-05,0.0,0.0,0.0,0.0,0.0,5.6458333333310804e-05,1.8034722222193267e-06,0.0,0.0,0.0005813868055554838,0.0001534465277777455,0.0,0.0,0.0,0.0,0.0,0.0013501388888887322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629374999999568,7.291666666663785e-05,0.005287311805555095,0.0,0.0,0.0,0.0,0.0,0.00010215277777771636,4.166666666656956e-07,9.893055555550115e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00010840277777771511,6.249999999985434e-07,1.2499999999992579e-05,0.00010201388888887023,6.332152777775324e-05,0.0001409027777777346,0.0,0.0009839583333331983,0.0,0.0,0.0,0.00019849027777773937,0.0,0.003286379861110786,9.881944444442137e-05,0.0,0.0024471527777775335,0.0005604111111110032,0.0,0.0002428472222221709,0.0,0.0,1.0680555555541025e-06,0.0,6.94444444442826e-08,0.0002444444444444116,9.583333333319386e-06,0.0,8.768055555552983e-05,0.0,0.0,0.0,0.006942618749999265,0.0,0.004281837499999603,0.0,0.0,0.0,1.422222222221671e-06,0.0,3.055555555551395e-06,0.0,0.0,1.8018055555545488e-05,0.0013986173611108957,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7743055555532707e-06,2.819652777777046e-05,1.8055555555513477e-06,6.287291666665072e-05,0.00016854166666660793,1.2243055555543551e-06,0.0,0.0,0.00014506944444441424,0.0,1.5486111111103144e-05,0.0,0.0,0.0,4.4861111111060836e-06,0.0,1.6395833333312146e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011166458333331815,0.0,0.0,0.0,0.0,0.0,0.00020868888888886852,7.544930555554262e-05,0.0,0.0,5.4298611111095836e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030076388888883185,0.00016363958333331534,9.507569444443556e-05,0.0005815972222221546,0.0,0.0,0.0,0.00010991736111109694,0.0,0.0,8.752777777772577e-06,0.0,0.0,1.1335416666659172e-05,5.16451388888697e-05,8.131249999991436e-06,1.2965277777753236e-06,0.0,0.0073577097222216,0.0,0.0,0.0,1.3229166666651872e-06,1.1415972222213158e-05,0.0,0.0,0.0,0.0005694548611110578,0.0,0.00010089791666665004,0.00036152777777763835,0.0
8,0.0,0.0,0.0,1.597222222220967e-07,0.0,6.615347222220939e-05,0.00013824930555553116,0.0,0.000324798611111062,0.0009737097222221084,0.0020092479166664867,0.015082218055554743,0.0,0.0,0.0,0.0017187965277776528,0.0005357541666665578,0.0011793993055554135,0.0016271854166665025,5.240069444442824e-05,0.0,0.0,0.00044600833333328536,0.00017199722222218167,0.0004232548611110396,0.00020586180555549937,0.0011974708333332132,0.0,0.0,1.1530555555551281e-05,0.0002361006944443996,0.0,1.36187499999934e-05,2.8412499999993637e-05,0.0,0.0,0.010930434722221535,0.0057734833333329336,9.305555555548672e-08,0.006192738888888494,0.0002399222222221849,0.0,0.0,9.038472222220318e-05,0.0003190541666666228,0.0,1.648541666665615e-05,0.0,6.111111111077132e-08,0.0,0.0,4.7888888888852286e-06,0.0006071777777776891,9.859027777767457e-06,0.0,0.0,0.0,8.126249999998385e-05,0.00010240069444442717,0.0,4.0673611111068865e-06,0.002149676388888667,0.0,0.0,0.0015323312499998121,0.003511526388888601,0.0,0.0,0.0,0.0,0.0,0.00030302916666661466,3.955555555554774e-05,0.0,0.00029468958333325534,5.8694444444368834e-06,0.01794555972222113,0.0,0.00010663055555554418,0.001672515277777569,6.117361111106254e-06,0.00013290833333330068,0.0004969763888888436,0.0,0.0,0.0006502472222221492,0.00019550694444441785,0.0003854374999999457,0.001252805555555408,3.021458333332314e-05
9,0.0,2.6660416666654344e-05,0.0,0.0007153486111110441,0.00046781597222212806,2.2513888888879348e-05,0.0,0.0,0.0011378743055554716,0.0,2.2954166666651313e-05,0.0,0.0005492361111110627,1.974999999996779e-06,0.0,0.015932702777777214,0.0,0.0,0.0,2.12416666666594e-05,0.0,0.0,0.0,0.0,4.1341666666654894e-05,0.0003677722222221568,0.0,0.0,0.0,0.0001788763888888583,0.0,0.013923520833332778,0.0,2.2846527777768718e-05,0.0,0.0,0.00014347708333330495,0.0,0.0,0.000407806944444396,8.489791666664835e-05,0.0,0.0,5.970347222221179e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007079034722221901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.690069444442579e-05,0.0,0.00042381736111107106,0.0,0.0,0.0,4.291666666665497e-05,0.0,0.0,4.23611111110864e-07,0.0006813833333332357,3.6574305555546874e-05,0.0008959159722221658,0.022039842361110135,0.00010052986111109607,0.005045038194444071,0.00014333541666663871,0.01452749583333264,0.0,0.000273915277777736,7.11874999999572e-06,0.0,0.0006280604166665638,4.0763888888751943e-07,0.00422341041666626,1.955694444443385e-05,0.014181084722221356,0.0,0.0,0.0,0.002776011111110848
10,0.0,0.0,0.0,0.0,0.0,0.0002207138888888322,0.0,0.0,0.0,0.0,0.0008082798611110497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.913194444439968e-06,0.00015828055555552604,0.0,0.0,0.0,8.317638888886987e-05,0.0,1.7945833333326493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022238666666664314,0.0,0.0,0.0,0.0,8.85638888888766e-05,0.0,0.0,0.0,0.0,0.0,0.0035567986111106624,0.0,1.988263888888052e-05,0.0002349923611110717,0.0,0.0,0.0,0.0,0.0,0.0,0.00039315555555549675,0.0,0.00015308611111109372,0.0,0.0,0.0,0.0001216597222222039,0.0,0.0,0.0,0.00012791805555552926,0.0,0.0005573972222221471,0.0,0.00015542222222219337,0.0,0.0,0.00017584583333330795,0.0,0.0,0.00017465347222218845
