Hour,Spot,FD1_down,FD2_down,FD1_up,FD2_up,FD1_up_percentage,FD2_up_percentage,FD1_down_percentage,FD2_down_percentage,FD_act_down,FD_act_up,Spot^2,Spot FD1_down,Spot FD2_down,Spot FD1_up,Spot FD2_up,FD1_down^2,FD1_down FD2_down,FD1_down FD1_up,FD1_down FD2_up,FD2_down^2,FD2_down FD1_up,FD2_down FD2_up,FD1_up^2,FD1_up FD2_up,FD2_up^2
0,46.599998,42.42105,33.89313,1.95478,49.18715,0.0342991052407328,0.9657008947592672,0.1266666666666666,0.8733333333333333,0.0,0.0,2171.559813600004,1976.8208451579,1579.41979021374,91.09274409044,2292.1210916257,1799.5454831025002,1437.7821623865,82.923820119,2086.5705495075003,1148.7442611969,66.2536126614,1667.1064692795,3.8211648484,96.150057077,2419.3757251225
1,41.330002,42.42105,33.89313,1.95492,49.33709,0.0128905396547957,0.9871094603452044,0.1266666666666666,0.8733333333333333,0.0002819444444443,0.0,1708.169065320004,1753.2620813421001,1400.80313068626,80.79684750984,2039.1020283741802,1799.5454831025002,1437.7821623865,82.929759066,2092.9311617445,1148.7442611969,66.2583576996,1672.1884051917,3.8217122064,96.4500639828,2434.1484496681005
2,42.18,43.36842,33.89313,1.96262,49.71026,0.0131070047271164,0.9868929952728837,0.1266666666666666,0.8733333333333333,0.0,0.0,1779.1524,1829.2799556,1429.6122234,82.7833116,2096.7787668,1880.8198532964,1469.8914969546,85.1157284604,2155.8554339892,1148.7442611969,66.5193348006,1684.8363045137999,3.8518772644,97.5623504812,2471.1099492676
3,44.369999,42.42105,33.89313,1.96222,49.4594,0.013803680981595,0.9861963190184048,0.1266666666666666,0.8733333333333333,0.0,0.0,1968.696811260001,1882.22194607895,1503.8381442068699,87.06369943778,2194.5135285406,1799.5454831025002,1437.7821623865,83.23943273100001,2098.11968037,1148.7442611969,66.50577754860001,1676.333873922,3.8503073284000005,97.050223868,2446.23224836
4,37.669998,41.78947,33.89313,1.95644,49.52272,0.0098857644991212,0.9901142355008788,0.1266666666666666,0.8733333333333333,0.0012075694444442,0.0,1419.028749320004,1574.20925132106,1276.7541393137399,73.69909088712,1865.52076335456,1746.3598028809001,1416.3759393411,81.7585906868,2069.5282217584,1148.7442611969,66.30987525719999,1678.4799869136,3.8276574736,96.88823031679999,2452.4997961984
5,39.700001,41.78947,33.89313,1.96611,54.84933,0.0038379530916844,0.9961620469083156,0.1266666666666666,0.8733333333333333,0.0,0.0,1576.090079400001,1659.04200078947,1345.55729489313,78.05456896611,2177.51845584933,1746.3598028809001,1416.3759393411,82.1626948617,2292.1244305551,1148.7442611969,66.6376218243,1859.0154721029,3.8655885321000003,107.8398162063,3008.4490014489
6,40.59,41.78947,33.89313,1.96604,55.45747,0.0106171201061712,0.9893828798938288,0.1266666666666666,0.8733333333333333,0.0,0.0,1647.5481000000002,1696.2345873000002,1375.7221467000002,79.80156360000001,2251.0187073,1746.3598028809001,1416.3759393411,82.1597695988,2317.5382788409,1148.7442611969,66.6352493052,1879.6272401811,3.8653132816,109.0316043188,3075.5309788009
7,43.259998,41.78947,33.89313,1.96069,55.38097,0.0155945419103313,0.9844054580896686,0.1266666666666666,0.8733333333333333,0.009404930555555,0.0,1871.4274269600044,1807.81238862106,1466.21673601374,84.81944547862001,2395.78065143806,1746.3598028809001,1416.3759393411,81.9361959343,2314.3413843859,1148.7442611969,66.4539210597,1877.0344157360998,3.8443052761,108.5849140693,3067.0518381408997
8,49.66,41.78947,33.89313,1.9544,55.96408,0.0343002744021952,0.9656997255978048,0.1266666666666666,0.8733333333333333,0.0,0.0,2466.1155999999996,2075.2650802,1683.1328357999998,97.05550399999998,2779.1762128,1746.3598028809001,1416.3759393411,81.673340168,2338.7092422376004,1148.7442611969,66.240733272,1896.7978387704,3.81967936,109.376197952,3131.9782502464004
9,70.050003,41.78947,33.89313,1.95481,55.65854,0.0326530612244898,0.9673469387755104,0.1266666666666666,0.8733333333333333,0.0003638194444444,0.0,4907.0029203000095,2927.3524988684103,2374.21385817939,136.93444636443002,3898.8808939756204,1746.3598028809001,1416.3759393411,81.6904738507,2325.9408875738,1148.7442611969,66.25462945529999,1886.4421318302,3.8212821361,108.8018705774,3097.8730749316
10,76.790001,41.78947,33.89313,1.95481,55.36818,0.0336275746111811,0.9663724253888188,0.1266666666666666,0.8733333333333333,0.0,0.0001877083333332,5896.704253580002,3209.0134430894705,2602.65348659313,150.10986185481,4251.72259756818,1746.3598028809001,1416.3759393411,81.6904738507,2313.8068970646,1148.7442611969,66.25462945529999,1876.6009226034,3.8212821361,108.2342719458,3065.6353565124004
11,84.099998,41.78947,33.89313,1.95399,55.42343,0.0403175266346354,0.9596824733653644,0.1266666666666666,0.8733333333333333,0.0,7.361111111104811e-06,7072.809663600004,3514.49434342106,2850.41216521374,164.33055509201998,4661.11035215314,1746.3598028809001,1416.3759393411,81.6562064853,2316.1157652821003,1148.7442611969,66.2268370887,1878.4735180359,3.8180769200999998,108.2968279857,3071.7565929649004
12,94.739998,41.78947,33.89313,1.95401,55.25445,0.0410344090617653,0.9589655909382346,0.1266666666666666,0.8733333333333333,0.0,0.0,8975.667221040005,3959.13430422106,3211.0350684137397,185.12290349198,5234.8064824911,1746.3598028809001,1416.3759393411,81.6570422747,2309.0541806415,1148.7442611969,66.2275149513,1872.7462569284999,3.8181550801,107.9677478445,3053.0542448025
