Spot,FD1_down,FD2_down,FD1_up,FD2_up,FD1_up_percentage,FD2_up_percentage,FD1_down_percentage,FD2_down_percentage,FD_act_up,FD_act_down
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0
