Hour,Spot,FD1_down,FD2_down,FD1_up,FD2_up,FD1_up_percentage,FD2_up_percentage,FD1_down_percentage,FD2_down_percentage,FD_act_up,FD_act_down
0,46.599998,42.42105,33.89313,1.95478,49.18715,0.034299105240732854,0.9657008947592671,0.12666666666666668,0.8733333333333333,0.0,0.0
1,41.330002,42.42105,33.89313,1.95492,49.33709,0.012890539654795719,0.9871094603452043,0.12666666666666668,0.8733333333333333,0.0,0.0002819444444443
2,42.18,43.36842,33.89313,1.96262,49.71026,0.013107004727116458,0.9868929952728835,0.12666666666666668,0.8733333333333333,0.0,0.0
3,44.369999,42.42105,33.89313,1.96222,49.4594,0.01380368098159509,0.9861963190184049,0.12666666666666668,0.8733333333333333,0.0,0.0
4,37.669998,41.78947,33.89313,1.95644,49.52272,0.009885764499121265,0.9901142355008787,0.12666666666666668,0.8733333333333333,0.0,0.0012075694444442
5,39.700001,41.78947,33.89313,1.96611,54.84933,0.003837953091684435,0.9961620469083156,0.12666666666666668,0.8733333333333333,0.0,0.0
6,40.59,41.78947,33.89313,1.96604,55.45747,0.0106171201061712,0.9893828798938288,0.12666666666666668,0.8733333333333333,0.0,0.0
7,43.259998,41.78947,33.89313,1.96069,55.38097,0.015594541910331385,0.9844054580896686,0.12666666666666668,0.8733333333333333,0.0,0.009404930555555
8,49.66,41.78947,33.89313,1.9544,55.96408,0.03430027440219522,0.9656997255978048,0.12666666666666668,0.8733333333333333,0.0,0.0
9,70.050003,41.78947,33.89313,1.95481,55.65854,0.0326530612244898,0.9673469387755103,0.12666666666666668,0.8733333333333333,0.0,0.0003638194444444
10,76.790001,41.78947,33.89313,1.95481,55.36818,0.03362757461118117,0.9663724253888188,0.12666666666666668,0.8733333333333333,0.0001877083333332,0.0
11,84.099998,41.78947,33.89313,1.95399,55.42343,0.040317526634635475,0.9596824733653645,0.12666666666666668,0.8733333333333333,7.361111111104811e-06,0.0
12,94.739998,41.78947,33.89313,1.95401,55.25445,0.04103440906176534,0.9589655909382346,0.12666666666666668,0.8733333333333333,0.0,0.0
13,96.800003,41.78947,33.89313,1.95407,55.19267,0.04038461538461538,0.9596153846153846,0.12666666666666668,0.8733333333333333,0.0,0.0
14,97.169998,41.78947,33.89313,1.95414,55.19909,0.03975208377858517,0.9602479162214148,0.12666666666666668,0.8733333333333333,0.0003074999999999,6.229166666663646e-05
15,101.269997,41.78947,33.89313,52.4626,55.91946,0.08845456377191216,0.9115454362280879,0.12666666666666668,0.8733333333333333,0.0019250694444441,0.0
16,126.599998,41.78947,33.89313,58.25533,56.15697,0.2396290050590219,0.760370994940978,0.12666666666666668,0.8733333333333333,0.0001421527777777,0.0
17,149.970001,41.78947,33.89313,64.36613,55.9905,0.21685904162294511,0.783140958377055,0.12666666666666668,0.8733333333333333,0.0,0.0
18,146.330002,41.78947,33.89313,61.65045,56.60685,0.21281618887015177,0.7871838111298483,0.12666666666666668,0.8733333333333333,5.055555555553445e-05,0.0
19,140.279999,41.78947,33.89313,59.68651,56.49552,0.21112984822934233,0.7888701517706577,0.12666666666666668,0.8733333333333333,0.0,0.0003279166666665
20,121.879997,41.78947,33.89313,50.53648,56.48633,0.1285634432643935,0.8714365567356064,0.12666666666666668,0.8733333333333333,0.0,0.0002316666666666
21,102.610001,41.78947,33.89313,45.18167,55.91448,0.10630596304057915,0.893694036959421,0.12666666666666668,0.8733333333333333,0.0,0.004478194444444
22,95.120003,41.78947,33.89313,1.95579,50.44731,0.02891304347826087,0.9710869565217392,0.12666666666666668,0.8733333333333333,0.0,1.0833333333329796e-05
23,83.110001,41.78947,33.89313,1.96351,50.55962,0.012672298799466429,0.9873277012005336,0.12666666666666668,0.8733333333333333,0.0,0.0017571325287801
24,34.73,33.5,40.0,1.96162,49.82296,0.013917314776913629,0.9860826852230864,0.13245033112582782,0.8675496688741722,0.0,0.0001843749999999
25,34.389999,33.5,40.0,1.9525,50.00125,0.024286581663630843,0.9757134183363692,0.13245033112582782,0.8675496688741722,0.0328824305555545,0.0
26,34.360001,33.5,40.0,1.96179,50.0365,0.013557264265479563,0.9864427357345205,0.13245033112582782,0.8675496688741722,0.003593055555555,0.0
27,34.099998,34.23077,40.16103,1.96179,50.24763,0.013343955387373034,0.986656044612627,0.17310252996005326,0.8268974700399468,0.0,0.0
28,29.559999,34.23077,40.16103,1.95411,50.22116,0.01454183266932271,0.9854581673306773,0.17310252996005326,0.8268974700399468,0.0,0.0026434027777773
29,33.970001,34.23077,40.16103,1.9538,50.64763,0.015432701699550695,0.9845672983004493,0.17310252996005326,0.8268974700399468,0.0,0.0006157638888887
30,34.52,33.46154,40.16103,1.95503,51.57803,0.029656214582546272,0.9703437854174536,0.17310252996005326,0.8268974700399468,0.0005074999999999,0.0005622222222221
31,41.799999,36.53846,40.16103,1.96317,50.1319,0.012642225031605562,0.9873577749683944,0.17310252996005326,0.8268974700399468,0.0010849999999997,0.0
32,48.950001,36.53846,40.16103,1.95552,55.81501,0.030992631122670134,0.9690073688773299,0.17310252996005326,0.8268974700399468,0.0001707638888888,0.0
33,60.009998,32.5,40.0,1.95585,55.98564,0.02925877763328999,0.97074122236671,0.13245033112582782,0.8675496688741722,0.0,0.0
34,70.089996,32.5,40.0,1.95648,55.89209,0.02681908111672895,0.9731809188832711,0.13245033112582782,0.8675496688741722,7.277777777774485e-05,0.0
35,66.260002,32.5,40.0,1.95868,55.92268,0.02015950376606114,0.9798404962339388,0.13245033112582782,0.8675496688741722,6.923611111105979e-05,0.0
36,64.540001,32.5,40.0,1.95859,56.90745,0.01930745015739769,0.9806925498426023,0.13245033112582782,0.8675496688741722,0.0,0.0
37,46.959999,32.5,40.0,1.9556,56.78389,0.029289572081429162,0.9707104279185708,0.13245033112582782,0.8675496688741722,1.5763888888875342e-05,0.0
38,49.060001,32.5,40.0,1.95898,56.82226,0.018499054025646416,0.9815009459743536,0.13245033112582782,0.8675496688741722,0.008184791666666,0.0
39,74.989998,33.0,40.0,44.68591,57.08729,0.09229565897536177,0.9077043410246383,0.13245033112582782,0.8675496688741722,0.0008927083333331,0.0
40,88.150002,33.0,40.0,58.02697,57.11244,0.12685306811784575,0.8731469318821543,0.13245033112582782,0.8675496688741722,0.0,0.0001127083333332
41,95.400002,33.0,40.0,59.4735,56.79389,0.14162283996994743,0.8583771600300526,0.13245033112582782,0.8675496688741722,0.0,0.0
42,86.709999,33.5,40.0,58.85652,56.65292,0.15156631026073905,0.8484336897392609,0.13245033112582782,0.8675496688741722,0.0,0.0
43,71.269997,33.5,40.0,55.35286,57.20089,0.11687335588124764,0.8831266441187523,0.13245033112582782,0.8675496688741722,0.0,0.0002654166666665
44,54.119999,33.5,40.0,25.71458,57.9768,0.05306831339251254,0.9469316866074874,0.13245033112582782,0.8675496688741722,0.0,0.0006611111111109
45,46.16,33.5,40.0,1.95712,57.58873,0.022347493456814978,0.977652506543185,0.13245033112582782,0.8675496688741722,0.0,0.0
46,46.290001,33.5,40.0,1.9579,52.69442,0.02020610224287735,0.9797938977571227,0.13245033112582782,0.8675496688741722,9.027777777756738e-07,0.0003066666666665
47,32.93,33.5,40.0,0.0,52.6539,0.0,1.0,0.13245033112582782,0.8675496688741722,0.0015897222222219,0.0003220138888887
48,13.2,48.33333,38.89256,1.95675,49.90748,0.022842639593908625,0.9771573604060912,0.1986754966887417,0.8013245033112583,0.0,0.0026229861111106
49,19.92,48.33333,38.89256,1.9525,50.43817,0.022181146025878003,0.977818853974122,0.1986754966887417,0.8013245033112583,0.0,0.0004483333333332
50,19.870001,48.33333,38.89256,1.95523,50.45958,0.027880354505169864,0.9721196454948301,0.1986754966887417,0.8013245033112583,0.0,0.0
51,13.24,48.33333,38.89256,1.95523,49.79333,0.02973026186257137,0.9702697381374286,0.1986754966887417,0.8013245033112583,0.0003590972222221,4.923611111109752e-05
52,13.29,48.33333,38.89256,1.95217,50.05283,0.02682737169517885,0.9731726283048212,0.1986754966887417,0.8013245033112583,0.0010326388888886,0.0
53,9.24,48.33333,38.89256,1.95252,49.99252,0.023686305732484078,0.976313694267516,0.1986754966887417,0.8013245033112583,8.055555555551092e-06,0.0
54,37.549999,37.66667,38.89256,1.95814,51.44429,0.01837121212121212,0.9816287878787878,0.1986754966887417,0.8013245033112583,5.69444444443364e-06,4.166666666656956e-07
55,88.760002,37.66667,38.89256,1.95506,51.34926,0.029948166634670762,0.9700518333653293,0.1986754966887417,0.8013245033112583,0.0,0.0004104166666666
56,122.93,37.66667,38.89256,1.96436,57.08755,0.010540436949022614,0.9894595630509774,0.1986754966887417,0.8013245033112583,0.0047847222222216,0.0
57,110.169998,37.66667,38.89256,1.96215,57.20907,0.012468827930174564,0.9875311720698254,0.1986754966887417,0.8013245033112583,0.0,0.0
58,93.379997,37.66667,38.89256,1.96068,57.0504,0.01463607594936709,0.985363924050633,0.1986754966887417,0.8013245033112583,0.0,2.5902777777754416e-05
59,90.730003,37.66667,38.89256,1.9584,56.83516,0.01889067524115756,0.9811093247588425,0.1986754966887417,0.8013245033112583,0.0,0.0
60,82.370003,37.66667,38.89256,1.95868,57.54465,0.017787333854573883,0.982212666145426,0.1986754966887417,0.8013245033112583,0.0002106249999999,0.0
61,80.900002,37.66667,38.89256,1.95868,57.63378,0.017456359102244388,0.9825436408977556,0.1986754966887417,0.8013245033112583,0.0001447222222221,0.0
62,80.989998,37.66667,38.89256,1.95859,57.46946,0.01798631476050831,0.9820136852394917,0.1986754966887417,0.8013245033112583,0.0,0.0
63,98.050003,38.0,38.89256,0.0,57.37385,0.0,1.0,0.1986754966887417,0.8013245033112583,0.0001084027777777,0.0
64,120.550003,38.0,38.89256,0.0,57.49053,0.0,1.0,0.1986754966887417,0.8013245033112583,0.0,0.0
65,139.570007,38.0,38.89256,0.0,57.63417,0.0,1.0,0.1986754966887417,0.8013245033112583,0.0,0.0
66,134.690002,38.46667,38.89256,0.0,57.56193,0.0,1.0,0.1986754966887417,0.8013245033112583,0.0,0.0
67,114.82,38.46667,38.89256,0.0,57.68503,0.0,1.0,0.1986754966887417,0.8013245033112583,0.0,0.0
68,92.910004,38.46667,38.89256,0.0,57.91478,0.0,1.0,0.1986754966887417,0.8013245033112583,0.0005438194444443,0.0
69,72.389999,38.46667,38.89256,1.96039,57.91142,0.014506585226188204,0.9854934147738118,0.1986754966887417,0.8013245033112583,0.0015779166666664,0.0
70,39.450001,38.46667,38.89256,1.96113,53.14685,0.013714506470929108,0.9862854935290708,0.1986754966887417,0.8013245033112583,0.0,0.0
71,34.400002,38.46667,38.89256,0.99275,53.47944,0.03171889838556505,0.9682811016144349,0.1986754966887417,0.8013245033112583,0.0,0.0003719088906854
72,39.990002,58.33333,37.67742,1.95731,51.93968,0.0213946117274168,0.9786053882725831,0.19480519480519481,0.8051948051948052,0.0,0.0
73,37.139999,58.33333,37.67742,1.95231,51.8039,0.026120152702431183,0.9738798472975688,0.19480519480519481,0.8051948051948052,0.0001163888888888,0.0
74,36.66,58.33333,37.67742,1.95581,52.02806,0.02602372751626483,0.9739762724837351,0.19480519480519481,0.8051948051948052,0.0,0.0
75,38.639999,58.33333,37.67742,1.95585,51.99764,0.02583732057416268,0.9741626794258373,0.19480519480519481,0.8051948051948052,0.0012311805555553,0.0
76,41.02,58.33333,37.67742,1.95211,51.61278,0.029254223320972394,0.9707457766790276,0.19480519480519481,0.8051948051948052,0.0,0.0
77,93.970001,58.33333,37.67742,1.95222,52.15637,0.02626970227670753,0.9737302977232924,0.19480519480519481,0.8051948051948052,0.0012441666666665,0.0
78,130.169998,58.33333,37.67742,1.95963,53.04842,0.016129032258064516,0.9838709677419355,0.19480519480519481,0.8051948051948052,2.21527777777676e-05,0.0
79,182.639999,58.33333,37.67742,1.96463,52.96492,0.010867377742000403,0.9891326222579997,0.19480519480519481,0.8051948051948052,0.0020729861111108,0.0002091666666666
80,174.610001,58.33333,37.67742,1.96612,53.11748,0.00972801270597578,0.9902719872940242,0.19480519480519481,0.8051948051948052,0.0,2.298611111108764e-05
81,185.440002,58.33333,37.67742,1.96612,52.84732,0.009951259138911456,0.9900487408610886,0.19480519480519481,0.8051948051948052,0.0,0.0033156944444442
82,185.320007,58.33333,37.67742,1.96646,52.71354,0.009981285090455394,0.9900187149095446,0.19480519480519481,0.8051948051948052,0.0,0.0
83,178.039993,58.33333,37.67742,1.96646,52.70372,0.00995850622406639,0.9900414937759335,0.19480519480519481,0.8051948051948052,0.0,1.2777777777766749e-05
84,178.080002,45.0,37.67742,1.9658,52.56598,0.010532968190436065,0.989467031809564,0.18421052631578946,0.8157894736842105,0.0,0.0
85,175.279999,45.0,37.67742,1.96519,52.99851,0.010706197241095327,0.9892938027589047,0.18421052631578946,0.8157894736842105,0.0,0.0002745958333332
86,174.699997,45.0,37.67742,1.96549,53.10057,0.010416666666666666,0.9895833333333333,0.18421052631578946,0.8157894736842105,3.472222222219064e-06,0.0
87,180.929993,45.0,37.67742,0.0,52.74089,0.0,1.0,0.18421052631578946,0.8157894736842105,0.0,0.0
88,166.690002,45.0,37.67742,0.0,53.22176,0.0,1.0,0.18421052631578946,0.8157894736842105,0.0003143055555554,1.6666666666627824e-06
89,185.320007,45.0,37.67742,9.91545,52.8597,0.002286902286902287,0.9977130977130977,0.18421052631578946,0.8157894736842105,4.17361111110997e-05,0.0
90,180.5,45.0,37.67742,10.0,52.86189,0.002067397146991937,0.9979326028530081,0.18421052631578946,0.8157894736842105,0.0,0.0
91,153.880005,45.0,37.67742,8.54,52.85451,0.00041640641265875496,0.9995835935873413,0.18421052631578946,0.8157894736842105,0.0,2.430555555552358e-06
92,146.809998,45.0,37.67742,2.89067,54.15091,0.0030681120883616284,0.9969318879116383,0.18421052631578946,0.8157894736842105,0.0,2.19444444444308e-05
93,128.75,45.0,37.67742,1.96197,54.94598,0.01274131274131274,0.9872586872586873,0.18421052631578946,0.8157894736842105,0.0,0.0
94,112.959999,45.0,37.67742,1.96145,54.4702,0.013739545997610516,0.9862604540023895,0.18421052631578946,0.8157894736842105,0.0,0.0
95,84.110001,45.0,37.67742,1.95101,54.66219,0.0533405172413793,0.9466594827586207,0.18421052631578946,0.8157894736842105,0.0,0.0
96,93.870003,33.25,34.24121,1.96,48.81261,0.016635081069698885,0.9833649189303012,0.16533333333333333,0.8346666666666667,0.0,0.0
97,51.689999,33.25,34.24121,1.95448,48.65535,0.014568384431398131,0.9854316155686019,0.16533333333333333,0.8346666666666667,0.0015271513888886,0.0
98,50.040001,33.25,34.24121,1.96274,48.68915,0.01354895104895105,0.986451048951049,0.16533333333333333,0.8346666666666667,0.0,7.916666666663858e-05
99,49.529999,33.25,34.24121,1.96274,48.72344,0.01348999129677981,0.9865100087032203,0.16533333333333333,0.8346666666666667,0.0,0.0
100,50.07,33.25,34.24121,1.95484,48.47399,0.013817695564965456,0.9861823044350345,0.16533333333333333,0.8346666666666667,0.0006890277777776,0.0
101,93.389999,33.25,34.24121,1.95422,48.49534,0.015354671280276814,0.9846453287197231,0.16533333333333333,0.8346666666666667,7.861111111109222e-05,0.0
102,99.160004,33.25,34.24121,1.95814,49.89594,0.020968439256376998,0.9790315607436231,0.16533333333333333,0.8346666666666667,0.0,0.0
103,101.150002,33.25,34.24121,1.9576,49.46554,0.02298850574712644,0.9770114942528736,0.16533333333333333,0.8346666666666667,0.0047722916666661,0.0
104,129.559998,33.25,34.24121,1.95738,50.04129,0.02341869117968921,0.9765813088203108,0.16533333333333333,0.8346666666666667,0.0030427083333329,0.0
105,121.089996,33.25,34.24121,1.95745,49.74491,0.02328646748681898,0.9767135325131809,0.16533333333333333,0.8346666666666667,0.0,3.4999999999981586e-05
106,135.050003,33.25,34.24121,1.95752,49.69267,0.023117569352708058,0.976882430647292,0.16533333333333333,0.8346666666666667,0.0,0.0
107,129.990005,33.25,34.24121,1.95752,49.4745,0.023107394366197184,0.9768926056338029,0.16533333333333333,0.8346666666666667,0.0,0.0
108,131.970001,33.25,34.24121,1.95752,49.70887,0.023061717548868876,0.9769382824511311,0.16533333333333333,0.8346666666666667,0.0,0.0
109,130.669998,33.25,34.24121,1.9576,49.82043,0.022937803264225853,0.9770621967357742,0.16533333333333333,0.8346666666666667,0.0,2.2361111111096992e-05
110,121.389999,33.25,34.24121,1.95675,50.10971,0.02500534302201325,0.9749946569779868,0.16533333333333333,0.8346666666666667,0.0,0.0
111,122.419998,33.25,34.24121,28.59747,49.85672,0.11317859198158452,0.8868214080184156,0.16533333333333333,0.8346666666666667,0.0,0.0
112,137.279999,33.25,34.24121,53.43535,50.21976,0.2197635135135135,0.7802364864864865,0.16533333333333333,0.8346666666666667,0.0003926388888888,0.0
113,148.089996,25.95833,34.48347,67.59772,50.21932,0.1570594673476833,0.8429405326523166,0.032,0.968,0.0,1.3194444444413693e-06
114,139.880005,24.72222,34.55652,54.64838,50.19199,0.18530405405405406,0.814695945945946,0.23841059602649006,0.7615894039735099,0.0,0.0
115,135.75,24.72222,35.46007,51.26209,50.20568,0.19847972972972974,0.8015202702702703,0.2380952380952381,0.761904761904762,0.0,0.0
116,119.93,24.72222,35.46007,49.8975,51.03248,0.22179054054054056,0.7782094594594594,0.2380952380952381,0.761904761904762,6.94444444442826e-08,0.0002278472222221
117,98.089996,24.72222,35.46007,1.95556,50.90707,0.030283642567711665,0.9697163574322883,0.2380952380952381,0.761904761904762,3.777777777776523e-05,0.0
118,118.709999,24.72222,35.46007,1.9556,50.51921,0.030486486486486487,0.9695135135135134,0.2380952380952381,0.761904761904762,8.333333333323781e-07,0.0
119,97.290001,24.72222,35.46007,1.95857,50.28836,0.0078003120124804995,0.9921996879875195,0.2380952380952381,0.761904761904762,0.0006491031390133,0.0
